key,value
"(207, 2)",0.0002377128518440076
"(207, 3)",0.0002027128518440076
"(208, 1)",0.00027323062254996965
"(208, 2)",0.00023823062254996964
"(208, 3)",0.00020323062254996963
"(209, 1)",0.0002737461791486091
"(209, 2)",0.0002387461791486091
"(209, 3)",0.0002037461791486091
"(210, 1)",0.0002742591683031859
"(210, 2)",0.00023925916830318594
"(210, 3)",0.00020425916830318593
"(211, 1)",0.00027476923843655794
"(211, 2)",0.000239769238436558
"(211, 3)",0.00020476923843655798
"(212, 1)",0.00027527603997213435
"(212, 2)",0.00024027603997213437
"(212, 3)",0.00020527603997213436
"(213, 1)",0.00027577922557345795
"(213, 2)",0.00024077922557345796
"(213, 3)",0.00020577922557345793
"(214, 1)",0.0002762784503822522
"(214, 2)",0.0002412784503822522
"(214, 3)",0.0002062784503822522
"(215, 1)",0.0002767733722547701
"(215, 2)",0.0002417733722547701
"(215, 3)",0.00020677337225477008
"(216, 1)",0.00027726365199628203
"(216, 2)",0.00024226365199628205
"(216, 3)",0.00020726365199628203
"(217, 1)",0.00027774895359354324
"(217, 2)",0.00024274895359354325
"(217, 3)",0.00020774895359354324
"(218, 1)",0.0002782289444450803
"(218, 2)",0.00024322894444508034
"(218, 3)",0.00020822894444508033
"(219, 1)",0.0002787032955891397
"(219, 2)",0.0002437032955891397
"(219, 3)",0.0002087032955891397
"(220, 1)",0.00027917168192914156
"(220, 2)",0.0002441716819291416
"(220, 3)",0.00020917168192914157
"(221, 1)",0.0002796337824564849
"(221, 2)",0.0002446337824564849
"(221, 3)",0.00020963378245648494
"(222, 1)",0.00028008928047055083
"(222, 2)",0.00024508928047055085
"(222, 3)",0.0002100892804705508
"(223, 1)",0.000280537863795753
"(223, 2)",0.000245537863795753
"(223, 3)",0.00021053786379575298
"(224, 1)",0.00028097922499548757
"(224, 2)",0.0002459792249954876
"(224, 3)",0.00021097922499548757
"(225, 1)",0.0002814130615828348
"(225, 2)",0.0002464130615828348
"(225, 3)",0.00021141306158283478
"(226, 1)",0.0002818390762278683
"(226, 2)",0.0002468390762278683
"(226, 3)",0.00021183907622786827
"(227, 1)",0.0002822569769614302
"(227, 2)",0.0002472569769614302
"(227, 3)",0.00021225697696143023
"(228, 1)",0.0002826664773752325
"(228, 2)",0.0002476664773752325
"(228, 3)",0.0002126664773752325
"(229, 1)",0.0002830672968181464
"(229, 2)",0.00024806729681814643
"(229, 3)",0.00021306729681814642
"(230, 1)",0.00028345916058854725
"(230, 2)",0.00024845916058854726
"(230, 3)",0.00021345916058854725
"(231, 1)",0.0002838418001225807
"(231, 2)",0.00024884180012258074
"(231, 3)",0.00021384180012258075
"(232, 1)",0.00028421495317822355
"(232, 2)",0.00024921495317822357
"(232, 3)",0.00021421495317822356
"(233, 1)",0.00028457836401501075
"(233, 2)",0.00024957836401501076
"(233, 3)",0.00021457836401501078
"(234, 1)",0.0002849317835693076
"(234, 2)",0.00024993178356930764
"(234, 3)",0.00021493178356930766
"(235, 1)",0.00028527496962500536
"(235, 2)",0.0002502749696250054
"(235, 3)",0.00021527496962500534
"(236, 1)",0.00028560768697952384
"(236, 2)",0.00025060768697952385
"(236, 3)",0.00021560768697952382
"(237, 1)",0.0002859297076050079
"(237, 2)",0.0002509297076050079
"(237, 3)",0.00021592970760500788
"(238, 1)",0.0002862408108046061
"(238, 2)",0.00025124081080460614
"(238, 3)",0.00021624081080460613
"(239, 1)",0.0002865407833637255
"(239, 2)",0.0002515407833637255
"(239, 3)",0.0002165407833637255
"(240, 1)",0.00028682941969615793
"(240, 2)",0.00025182941969615794
"(240, 3)",0.00021682941969615793
